FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,GlobalID,CreationDate,Creator,EditDate,Editor,SHAPE_Length,SHAPE_Area
11,10005850,AUDRAIN COUNTY JAIL,1100 LITTLEBY ROAD,MEXICO,MO,65265,-999,(573) 473-5801,COUNTY,OPEN,-999,AUDRAIN,29007,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.audrainsheriff.com/,2018/03/23 00:00:00+00,IMAGERY/OTHER,2020/01/31 00:00:00+00,https://www.audrainsheriff.com/,NOT AVAILABLE,-999,0.00270240062488,{BB366BDA-BFA3-4A87-8813-E60BB17F7FAA},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,338.944782164255,2.69817403095e-07
12,10005872,BATES COUNTY JAIL,6 WEST FORT SCOTT STREET,BUTLER,MO,64730,-999,(660) 679-5880,COUNTY,OPEN,26,BATES,29013,USA,922140,CORRECTIONAL INSTITUTIONS,https://batescountysheriff.com/,2018/03/23 00:00:00+00,IMAGERY/OTHER,2020/01/31 00:00:00+00,http://www.batescountysheriff.com/index.html,NOT AVAILABLE,100,0.00214663656777,{0DFD7F02-9D96-4C8F-A990-AE91A90A71BE},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,265.669014070509,1.94953658989e-07
13,10005564,ATTALA COUNTY JAIL,112 WEST ADAMS STREET,KOSCIUSKO,MS,39090,-999,(662) 289-5556,COUNTY,OPEN,-999,ATTALA,28007,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.attalacounty.net/sheriff,2018/03/27 00:00:00+00,IMAGERY/OTHER,2020/01/07 00:00:00+00,http://www.attalacounty.net/sheriff,NOT AVAILABLE,-999,0.0017856802627,{82803DF3-753E-4DEF-ADD8-F4A67AE84B5B},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,215.604684721159,1.96110305414e-07
14,10004389,SHACKELFORD COUNTY JAIL,791 US HWY 180 WEST,ALBANY,TX,76430,-999,(325) 762-9500,COUNTY,OPEN,11,SHACKELFORD,48417,USA,922140,CORRECTIONAL INSTITUTIONS,"http://shackelfordcounty.org/sheriffs-department/, https://www.tcjs.state.tx.us/index.php?linkID=325",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/03/04 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,27,0.00329283414374,{359B0441-1C0D-48D3-B58D-F27A5927EF60},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,389.235832127065,4.80341918134e-07
15,10001287,BEXAR COUNTY JUVENILE DETENTION CENTER,600 MISSION RD,SAN ANTONIO,TX,78210,-999,NOT AVAILABLE,COUNTY,OPEN,-999,BEXAR,48029,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.bexar.org/1390/Facilities,2018/04/25 00:00:00+00,IMAGERY,2020/02/11 00:00:00+00,http://www.bexar.org/1390/Facilities,JUVENILE,278,0.00560996122862,{AD3F53AE-E649-4433-B72A-7E561F4284E6},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,675.064448016042,1.33882431307e-06
16,10005772,PARMENTER COMMUNITY JUSTICE CENTER,706 5TH STREET,BAY CITY,MI,48708,-999,NOT AVAILABLE,LOCAL,NOT AVAILABLE,12,BAY,26017,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.theoaklandpress.com/news/judge-oks-abraham-s-move-to-halfway-house/article_b67a4657-ddd6-5ca7-bfad-c5d3db76bd40.html,2020/05/28 00:00:00+00,IMAGERY/OTHER,2019/12/20 00:00:00+00,NOT AVAILABLE,JUVENILE,13,0.000599796683383,{36C49A35-3983-46A7-B606-00A206794368},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,81.5229326305894,2.1842417716e-08
17,10006287,WOODLAND HILLS TREATMENT CENTER,4321 ALLANDALE AVE,DULUTH,MN,55803,-999,(218) 728-7500,LOCAL,OPEN,-999,ST. LOUIS,27137,USA,922140,CORRECTIONAL INSTITUTIONS,https://thehillsyfs.org/,2018/05/18 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,https://thehillsyfs.org/services/,JUVENILE,-999,0.00274723745986,{60616569-064E-4DB0-AA0A-B3CF1D84DE16},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,374.115512593552,4.27504962904e-07
18,10001675,SCIOTO COUNTY JAIL,1025 16TH ST,PORTSMOUTH,OH,45662,-999,(740) 355-8277,COUNTY,OPEN,-999,SCIOTO,39145,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.sciotocountysheriff.com/2017-FILES/2018SHERIFF.html,2018/04/12 00:00:00+00,IMAGERY/OTHER,2020/02/20 00:00:00+00,http://www.sciotocountysheriff.com/2017-FILES/2018SHERIFF.html,NOT AVAILABLE,-999,0.00442861089682,{995A2986-1A14-4DF7-860E-41220D108387},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,549.178985633778,7.64688448379e-07
19,10006914,VOLUNTEERS OF AMERICA - MINNEAPOLIS RESIDENTIAL RE-ENTRY CENTER,2825 EAST LAKE STREET,MINNEAPOLIS,MN,55406,-999,(612) 721-6327,LOCAL,OPEN,-999,HENNEPIN,27053,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.voa.org/,2018/05/18 00:00:00+00,IMAGERY/OTHER,2020/01/02 00:00:00+00,https://www.voamnwi.org/residential-reentry,NOT AVAILABLE,-999,0.00113309771896,{726CA616-188F-44CC-8FEA-70A3F7BB9C36},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,159.841384647093,7.32868915391e-08
20,10005396,BENTON COUNTY JAIL / SHERIFF,174 W. WASHINGTON STREET,WARSAW,MO,65355,-999,(660) 438-6135,COUNTY,OPEN,-999,BENTON,29015,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.mosheriffs.com/view_county.php?name=Benton,2018/03/23 00:00:00+00,IMAGERY/OTHER,2020/01/31 00:00:00+00,http://www.bentoncomo.com/jail.html,NOT AVAILABLE,24,0.00131874736927,{FE18DBCE-B694-4776-A28A-B9E19DE18EA1},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,164.685396773114,1.00086425957e-07
21,10005885,BOLLINGER COUNTY JAIL,202 HIGH STREET,MARBLE HILL,MO,63764,-999,(573) 238-2633,COUNTY,OPEN,18,BOLLINGER,29017,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.bollingercountysheriffsoffice.com/jail-division.html,2018/03/23 00:00:00+00,IMAGERY/OTHER,2020/01/31 00:00:00+00,http://bollingercountysheriffsoffice.com/index.html,NOT AVAILABLE,-999,0.00164611679859,{5E53DFEA-AE93-42EC-8F3F-6A0EB5C34809},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,202.826313389671,1.23681966314e-07
22,10002698,SHERIFF AL CANNON DETENTION CENTER,3841 LEEDS AVE,NORTH CHARLESTON,SC,29405,-999,(843) 529-7300,COUNTY,OPEN,1113,CHARLESTON,45019,USA,922140,CORRECTIONAL INSTITUTIONS,https://sheriff.charlestoncounty.org/index.php,2018/04/19 00:00:00+00,IMAGERY/OTHER,2020/02/07 00:00:00+00,https://sheriff.charlestoncounty.org/index.php,MAXIMUM,1917,0.0118527387088,{E4D43522-B67E-4920-B8EF-506696E4B61E},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1442.58035411344,3.22816788751e-06
23,10002832,MILAM COUNTY JAIL,512 N JEFFERSON,CAMERON,TX,76520,-999,(254) 697-7063,COUNTY,OPEN,137,MILAM,48331,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, https://www.milamcountysherifftx.org/jail",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/02/27 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,160,0.00397567549565,{1C7AF907-0DB6-45E3-916C-42E69126E315},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,471.943032378139,6.19810641708e-07
24,10002833,ROCKDALE REGIONAL JUVENILE JUSTICE CENTER,696 N FM 487,ROCKDALE,TX,76567,-999,(512) 446-3930,COUNTY,OPEN,-999,MILAM,48331,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.rrjjc.com/about-us.html, https://www.facebook.com/pages/Rockdale-Regional-Juvenile-Justice-Center/423496447705663",2018/04/30 00:00:00+00,IMAGERY/OTHER,2020/02/27 00:00:00+00,http://www.rrjjc.com/about-us.html,JUVENILE,67,0.00300013092201,{07A9ADE5-C317-42F2-9CAD-B4B35132C6AA},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,364.419414520802,3.730312307e-07
25,10004420,SUTTON COUNTY JAIL,401 EAST OAK STREET,SONORA,TX,76950,-999,(325) 387-2288,COUNTY,OPEN,14,SUTTON,48435,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, https://texasjailproject.org/list_of_county_jails/",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/03/04 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,28,0.00216731137931,{9257E553-07B8-4CDA-81CC-DDF9942DA6C2},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,261.984697548083,2.74908907046e-07
26,10006014,NOBLE COUNTY JAIL / COURTHOUSE,"300 COURTHOUSE DR, STE 5",PERRY,OK,73077,-999,(580) 336-1001,MULTI,OPEN,-999,NOBLE,40103,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.noblecoso.com/index_003.htm,2020/05/28 00:00:00+00,IMAGERY,2020/01/21 00:00:00+00,https://www.noblecoso.com/index_003.htm,NOT AVAILABLE,48,0.00105401184554,{D663C4EA-044A-46BA-BD92-0BC31FDB95DD},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,131.246456244943,6.94195098627e-08
27,10001789,CARTERET COUNTY DETENTION FACILITY,306 CRAVEN ST,BEAUFORT,NC,28516,-999,(252) 728-8400,COUNTY,OPEN,128,CARTERET,37031,USA,922140,CORRECTIONAL INSTITUTIONS,http://carteretsheriff.com/services/detention-center/,2018/04/02 00:00:00+00,IMAGERY/OTHER,2020/02/13 00:00:00+00,http://carteretsheriff.com/services/detention-center/,NOT AVAILABLE,117,0.00196667065495,{24662F02-9512-4EBD-A51E-C6FB0294B0FB},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,239.850622066102,1.77016979569e-07
28,10004391,NOLAN COUNTY JAIL,211 AVENGER FIELD RD,SWEETWATER,TX,79556,-999,(325) 235-5487,COUNTY,OPEN,66,NOLAN,48353,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, http://www.co.nolan.tx.us/page/nolan.Sheriff",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/02/27 00:00:00+00,http://nolanso.com/,NOT AVAILABLE,96,0.00317749415714,{EC4235A3-47AB-405E-92F7-6B350182DC2B},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,378.57747666347,3.27571164478e-07
29,10002932,NUECES COUNTY MCKINZIE JAIL ANNEX,745 N PADRE ISLAND DR,CORPUS CHRISTI,TX,78406,-999,(361) 241-5234,COUNTY,OPEN,400,NUECES,48355,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.nuecesco.com/law-enforcement/sheriff/jail-commissary,2018/05/01 00:00:00+00,IMAGERY/OTHER,2020/02/27 00:00:00+00,http://www.nuecesco.com/law-enforcement/sheriff,NOT AVAILABLE,450,0.00562586229753,{49DC1E03-FE34-447D-97A1-CEF3FBB00C50},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,658.695061241327,1.52714626822e-06
30,10005223,MINSEC OF SCRANTON,539 LINDEN ST,SCRANTON,PA,18503,-999,(570) 341-8281,LOCAL,OPEN,-999,LACKAWANNA,42069,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.facebook.com/pages/Minsec-Scranton/162081287143773,2020/05/28 00:00:00+00,IMAGERY,2020/01/29 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,30,0.00117153658262,{2C8304BF-2CB5-4A54-8C4C-CC38CD3FA5C7},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,150.522979282842,7.38485445035e-08
31,10005500,CASWELL COUNTY DETENTION CENTER,231 COUNTY PARK RD,YANCEYVILLE,NC,27379,-999,(336) 694-2590,COUNTY,OPEN,-999,CASWELL,37033,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.caswellcountysheriffsoffice.com/detention.htm,2018/04/02 00:00:00+00,IMAGERY/OTHER,2020/02/13 00:00:00+00,http://www.caswellcountysheriffsoffice.com/detention.htm,NOT AVAILABLE,108,0.00324679038577,{08B34CA7-5AAC-45CA-802B-02040A277DC4},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,405.36815995275,5.26305038951e-07
32,10004187,CATAWBA COUNTY DETENTION FACILITY / JUSTICE CENTER,100 B SOUTHWEST BLVD,NEWTON,NC,28658,-999,(828) 465-8999,COUNTY,OPEN,317,CATAWBA,37035,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.catawbacountync.gov/county-services/sheriffs-office/detention-facilities/general-information/,2018/04/02 00:00:00+00,IMAGERY/OTHER,2020/02/13 00:00:00+00,https://www.catawbacountync.gov/county-services/sheriffs-office/detention-facilities/general-information/,MAXIMUM,268,0.00466189087587,{A1C68D03-ACEB-4887-B883-5711ED9FD65E},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,578.708395077327,9.94177546993e-07
33,10006915,JOPLIN CITY JAIL,303 E 3RD STREET,JOPLIN,MO,64801,-999,(417) 623-3131,LOCAL,OPEN,62,JASPER,29097,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.joplinmo.org/382/Operations-Division,2018/05/18 00:00:00+00,IMAGERY/OTHER,2020/01/31 00:00:00+00,http://www.joplinmo.org/311/Jail,NOT AVAILABLE,60,0.00292783415427,{76FDE001-B6A3-41C2-BEFC-CDF30A9E575F},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,361.7515658712,3.69196852558e-07
34,10001613,BUCHANAN COUNTY JAIL,501 FARAON ST,ST. JOSEPH,MO,64501,-999,(816) 236-8800,COUNTY,OPEN,-999,BUCHANAN,29021,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.co.buchanan.mo.us/201/Corrections,2018/03/26 00:00:00+00,IMAGERY/OTHER,2020/01/31 00:00:00+00,http://www.co.buchanan.mo.us/196/Sheriffs-Office,MAXIMUM,224,0.00501505134126,{A3920993-24FD-4806-B5A2-6E93DBCCB566},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,597.489339513268,5.73179237122e-07
35,10005388,CALDWELL COUNTY DETENTION CENTER,280 WEST MAIN STREET,KINGSTON,MO,64650,-999,(816) 585-5245,COUNTY,OPEN,-999,CALDWELL,29025,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.caldwellco.missouri.org/detention-center/,2018/03/26 00:00:00+00,IMAGERY/OTHER,2020/01/31 00:00:00+00,http://caldwellco.missouri.org/detention-center/,NOT AVAILABLE,-999,0.00207324590086,{7C070786-D60E-434E-9234-F1AB19DCE3B8},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,259.645069002291,2.24232074219e-07
36,10004362,OLDHAM COUNTY JAIL,105 SOUTH MAIN STREET,VEGA,TX,79092,-999,(806) 267-2162,COUNTY,OPEN,3,OLDHAM,48359,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, https://texasjailproject.org/list_of_county_jails/",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/02/27 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,10,0.00155262374731,{63FEA814-D372-41AF-A378-F735ABAD6EBD},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,197.47391974016,1.39517097883e-07
37,10002745,PALO PINTO COUNTY JAIL,420 CEDAR ST,PALO PINTO,TX,76484,-999,(940) 659-1293,COUNTY,OPEN,119,PALO PINTO,48363,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.palopintocountysheriff.com/, https://www.tcjs.state.tx.us/index.php?linkID=325",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/02/27 00:00:00+00,http://www.palopintocountysheriff.com/,NOT AVAILABLE,142,0.00473935612363,{C4BB794F-A255-47CF-9C9A-44C44832A035},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,583.501011579058,8.89724962209e-07
38,10002907,VICTORIA COUNTY JAIL,101 N GLASS ST,VICTORIA,TX,77901,-999,(361) 575-0651,COUNTY,OPEN,375,VICTORIA,48469,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, http://www.victoriasheriff.org/",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/03/04 00:00:00+00,http://www.victoriasheriff.org/,NOT AVAILABLE,524,0.00310972106719,{5D41090E-8A56-481F-96DB-FDB97D6E3E53},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,371.110877984783,4.5146986274e-07
39,10000727,WOMEN'S COMMUNITY CORRECTION CENTER,324 NORTH 6TH STREET,ALLENTOWN,PA,18102,-999,(610) 820-3310,COUNTY,NOT AVAILABLE,49,LEHIGH,42077,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.countyoffice.org/womens-community-correction-center-allentown-pa-420/,2020/05/28 00:00:00+00,IMAGERY,2020/01/31 00:00:00+00,NOT AVAILABLE,MINIMUM,-999,0.00109813307057,{C3CE0A05-F221-439C-8C35-CD670FC148E7},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,137.232869855821,6.28306615843e-08
40,10005513,CHATHAM COUNTY DETENTION CENTER,627 RENAISSANCE DRIVE,PITTSBORO,NC,27312,-999,(919) 545-7802,COUNTY,OPEN,-999,CHATHAM,37037,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.chathamnc.org/government/departments-programs/sheriff-s-office,2018/04/02 00:00:00+00,IMAGERY/OTHER,2020/02/13 00:00:00+00,https://www.chathamnc.org/government/departments-programs/sheriff-s-office,NOT AVAILABLE,-999,0.005255150383,{EA15DB95-3988-4146-B9C4-C33A3A027015},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,644.183143946896,1.40469793185e-06
